imdb_title_id,ordering,imdb_name_id,category
27067,2,26,actor
27067,3,731,actor
27067,4,350324,actor
27067,5,2030,director
27067,6,881148,writer
27067,7,171924,writer
27067,8,644420,writer
27067,9,533283,writer
27067,10,75825,producer
27125,1,1,actor
27125,2,1677,actress
27125,3,2143,actor
27125,4,722424,actor
27125,5,762263,director
27125,6,852313,writer
27125,7,778818,writer
27125,8,15801,writer
27125,9,267022,writer
27125,10,391750,writer
27260,1,1635,actor
27260,2,1485,actress
27260,3,71,actor
27260,4,484748,actress
27260,5,886754,director
27260,6,329304,writer
27260,7,352443,writer
27260,8,358591,writer
27260,9,834898,producer
27260,10,6307,composer
27421,1,73,actress
27421,2,452128,actor
27421,3,838843,actor
27421,4,1171,actor
27421,5,124877,director
27421,6,375500,writer
27421,7,499628,writer
27421,8,876223,writer
27421,9,723840,writer
27421,10,549905,writer
27527,1,73,actress
27527,2,604656,actor
27527,3,448836,actor
27527,4,922818,actress
27527,5,782682,director
27527,6,790654,writer
27527,7,674759,writer
27527,8,425913,writer
27527,9,322688,cinematographer
27527,10,498584,editor
27532,1,404158,actor
27532,2,154183,actress
27532,3,510134,actor
27532,4,802,actress
27532,5,943758,director
27532,6,507760,writer
27532,7,397608,writer
27532,8,943753,writer
27532,9,326418,producer
27532,10,5789,cinematographer
27630,1,1,actor
27630,2,1677,actress
27630,3,68,actor
27630,4,384948,actress
27630,5,762263,director
27630,6,852313,writer
27630,7,778818,writer
27630,8,651661,writer
27630,9,513858,writer
27630,10,949130,writer
27652,1,796662,actress
27652,2,75,actor
27652,3,8496,actor
27652,4,127677,actor
27652,5,485,director
27652,6,179993,writer
27652,7,469915,writer
27652,8,581,producer
27652,9,77,composer
27652,10,5853,cinematographer
27660,1,553837,actor
27660,2,526946,actress
27660,3,140504,actor
27660,4,399346,actor
27660,5,541149,director
27660,6,83532,writer
27660,7,810290,writer
27660,8,489690,producer
27660,9,681933,producer
27660,10,5635,cinematographer
27884,1,1318,actress
27884,2,1635,actor
27884,3,1485,actress
27884,4,75,actor
27884,5,176699,director
27884,6,914362,writer
27884,7,736911,writer
27884,8,649183,writer
27884,9,838395,writer
27884,10,918318,producer
27893,1,861,actor
27893,2,182537,actress
27893,3,807580,actor
27893,4,452128,actor
27893,5,188669,director
27893,6,122364,writer
27893,7,909484,writer
27893,8,770337,writer
27893,9,6388,producer
27893,10,70,composer
27977,1,122,actor
27977,2,2104,actress
27977,3,74788,actor
27977,4,761866,actor
27977,5,5806,cinematographer
27977,6,5906,cinematographer
27977,7,174682,actor
27977,8,3424,actor
27977,9,90008,actor
27977,10,305087,actor
27996,1,11,actor
27996,2,795,actress
27996,3,51628,actor
27996,4,822034,actor
27996,5,1008,director
27996,6,728307,writer
27996,7,445502,writer
27996,8,907900,cinematographer
27996,9,369879,editor
27996,10,241523,actor
28010,1,1635,actor
28010,2,1479,actress
28010,3,103567,actress
28010,4,665850,actress
28010,5,478441,director
28010,6,753452,writer
28010,7,368719,writer
28010,8,15399,writer
28010,9,696190,writer
28010,10,5898,cinematographer
28096,1,1366,actor
